iter	Passed	Remaining
0	3	3943
1	8	4466
2	14	4665
3	19	4826
4	24	4866
5	29	4871
6	34	4913
7	39	4944
8	44	4933
9	49	4941
10	55	4991
11	60	5003
12	66	5042
13	72	5077
14	77	5081
15	82	5084
16	88	5130
17	93	5120
18	99	5128
19	105	5178
20	111	5186
21	117	5207
22	122	5218
23	128	5221
24	133	5223
25	139	5224
26	145	5227
27	151	5249
28	156	5246
29	162	5249
30	168	5274
31	174	5284
32	180	5288
33	186	5289
34	192	5299
35	198	5308
36	204	5320
37	210	5338
38	217	5355
39	223	5375
40	230	5390
41	237	5415
42	243	5411
43	249	5423
44	255	5419
45	261	5418
46	267	5425
47	273	5421
48	279	5420
49	285	5416
50	291	5415
51	297	5427
52	303	5424
53	309	5423
54	315	5419
55	321	5414
56	327	5424
57	333	5419
58	339	5414
59	345	5418
60	351	5414
61	357	5415
62	363	5413
63	369	5410
64	376	5409
65	382	5406
66	388	5409
67	396	5428
68	402	5427
69	409	5437
70	415	5436
71	422	5439
72	429	5448
73	435	5445
74	441	5448
75	446	5433
76	452	5430
77	459	5433
78	465	5430
79	471	5426
80	478	5428
81	483	5412
82	489	5413
83	495	5398
84	501	5399
85	508	5404
86	515	5405
87	520	5395
88	525	5383
89	531	5376
90	537	5370
91	543	5365
92	548	5353
93	555	5352
94	561	5346
95	566	5336
96	572	5330
97	577	5319
98	583	5307
99	589	5303
100	594	5293
101	599	5278
102	604	5268
103	610	5258
104	615	5244
105	620	5236
106	627	5233
107	633	5229
108	646	5282
109	654	5292
110	659	5279
111	664	5267
112	669	5256
113	674	5242
114	679	5233
115	686	5228
116	692	5222
117	698	5219
118	704	5214
119	710	5207
120	716	5203
121	721	5192
122	726	5182
123	732	5173
124	737	5165
125	743	5155
126	749	5150
127	754	5142
128	760	5136
129	766	5128
130	773	5131
131	780	5133
132	787	5131
133	793	5128
134	800	5128
135	806	5122
136	813	5123
137	820	5125
138	827	5127
139	835	5132
140	842	5134
141	848	5125
142	855	5124
143	862	5124
144	868	5121
145	875	5121
146	882	5118
147	889	5118
148	895	5113
149	902	5112
150	908	5105
151	913	5095
152	919	5088
153	925	5084
154	931	5076
155	936	5069
156	942	5060
157	947	5049
158	953	5042
159	958	5033
160	964	5025
161	970	5018
162	975	5008
163	980	4998
164	986	4990
165	991	4982
166	996	4972
167	1003	4969
168	1008	4960
169	1014	4951
170	1020	4947
171	1026	4940
172	1032	4933
173	1038	4929
174	1043	4920
175	1050	4916
176	1055	4907
177	1060	4898
178	1067	4894
179	1072	4887
180	1078	4880
181	1084	4875
182	1090	4866
183	1095	4858
184	1102	4855
185	1108	4849
186	1114	4844
187	1119	4836
188	1125	4830
189	1131	4823
190	1136	4813
191	1141	4804
192	1147	4797
193	1153	4791
194	1158	4780
195	1163	4771
196	1168	4764
197	1174	4755
198	1179	4749
199	1185	4742
200	1190	4734
201	1197	4729
202	1203	4726
203	1209	4719
204	1215	4713
205	1222	4712
206	1228	4705
207	1234	4700
208	1239	4692
209	1246	4689
210	1252	4681
211	1257	4675
212	1262	4665
213	1267	4656
214	1273	4648
215	1278	4640
216	1283	4631
217	1290	4630
218	1297	4628
219	1304	4624
220	1311	4623
221	1319	4623
222	1327	4624
223	1334	4622
224	1340	4617
225	1346	4612
226	1354	4611
227	1360	4605
228	1365	4598
229	1371	4592
230	1377	4584
231	1382	4577
232	1389	4573
233	1395	4568
234	1401	4562
235	1408	4558
236	1414	4553
237	1421	4551
238	1429	4551
239	1435	4546
240	1443	4545
241	1450	4543
242	1456	4537
243	1462	4531
244	1468	4524
245	1474	4518
246	1479	4510
247	1485	4505
248	1491	4498
249	1496	4490
250	1502	4484
251	1509	4480
252	1516	4477
253	1521	4469
254	1528	4464
255	1534	4460
256	1540	4453
257	1546	4447
258	1552	4441
259	1557	4432
260	1563	4428
261	1568	4419
262	1574	4411
263	1579	4403
264	1584	4395
265	1589	4386
266	1597	4385
267	1603	4378
268	1608	4371
269	1616	4370
270	1623	4366
271	1638	4384
272	1644	4380
273	1650	4374
274	1656	4367
275	1662	4362
276	1668	4353
277	1673	4346
278	1679	4339
279	1684	4331
280	1691	4326
281	1696	4320
282	1702	4313
283	1708	4308
284	1714	4301
285	1720	4294
286	1726	4287
287	1732	4282
288	1738	4276
289	1744	4270
290	1749	4263
291	1756	4259
292	1762	4253
293	1768	4245
294	1774	4240
295	1780	4234
296	1787	4229
297	1793	4225
298	1799	4219
299	1806	4214
300	1812	4210
301	1819	4205
302	1826	4200
303	1832	4194
304	1839	4190
305	1845	4184
306	1851	4179
307	1858	4175
308	1864	4168
309	1871	4166
310	1877	4158
311	1884	4154
312	1889	4147
313	1895	4140
314	1903	4138
315	1909	4132
316	1916	4128
317	1921	4121
318	1926	4113
319	1934	4109
320	1939	4101
321	1945	4095
322	1951	4089
323	1956	4081
324	1962	4076
325	1968	4069
326	1973	4061
327	1980	4057
328	1986	4050
329	1991	4042
330	1998	4038
331	2004	4033
332	2011	4029
333	2018	4023
334	2025	4020
335	2031	4014
336	2037	4007
337	2044	4003
338	2049	3996
339	2054	3988
340	2061	3983
341	2067	3977
342	2072	3970
343	2079	3964
344	2084	3957
345	2092	3954
346	2097	3947
347	2102	3939
348	2110	3936
349	2116	3930
350	2123	3925
351	2129	3920
352	2134	3912
353	2141	3907
354	2146	3900
355	2152	3893
356	2158	3888
357	2164	3880
358	2169	3874
359	2175	3868
360	2181	3860
361	2188	3856
362	2194	3850
363	2199	3843
364	2206	3838
365	2211	3830
366	2216	3823
367	2221	3815
368	2226	3807
369	2232	3800
370	2237	3792
371	2242	3785
372	2246	3777
373	2252	3770
374	2257	3762
375	2262	3754
376	2268	3748
377	2273	3740
378	2278	3733
379	2284	3727
380	2290	3721
381	2296	3715
382	2302	3708
383	2307	3701
384	2312	3694
385	2317	3686
386	2322	3679
387	2328	3672
388	2333	3665
389	2338	3658
390	2343	3650
391	2349	3643
392	2354	3636
393	2359	3628
394	2365	3622
395	2370	3615
396	2375	3607
397	2381	3601
398	2388	3597
399	2394	3591
400	2400	3585
401	2406	3579
402	2411	3572
403	2417	3566
404	2422	3558
405	2428	3552
406	2433	3545
407	2438	3538
408	2444	3532
409	2450	3526
410	2456	3520
411	2462	3513
412	2468	3508
413	2474	3502
414	2479	3495
415	2485	3488
416	2491	3482
417	2496	3475
418	2501	3468
419	2508	3463
420	2513	3456
421	2518	3449
422	2525	3445
423	2530	3438
424	2536	3431
425	2542	3425
426	2547	3418
427	2553	3413
428	2559	3406
429	2564	3399
430	2570	3394
431	2576	3388
432	2582	3381
433	2589	3376
434	2594	3370
435	2609	3375
436	2616	3371
437	2622	3364
438	2627	3357
439	2633	3351
440	2638	3344
441	2643	3337
442	2649	3331
443	2654	3323
444	2659	3317
445	2665	3310
446	2670	3303
447	2675	3296
448	2681	3290
449	2686	3283
450	2692	3277
451	2698	3271
452	2703	3264
453	2708	3257
454	2714	3251
455	2719	3244
456	2724	3237
457	2730	3231
458	2735	3224
459	2740	3217
460	2746	3211
461	2752	3205
462	2757	3198
463	2763	3192
464	2770	3187
465	2775	3180
466	2781	3174
467	2787	3168
468	2792	3162
469	2799	3156
470	2804	3149
471	2810	3143
472	2814	3136
473	2820	3129
474	2825	3123
475	2830	3116
476	2835	3109
477	2841	3103
478	2846	3096
479	2851	3089
480	2857	3083
481	2862	3076
482	2868	3070
483	2874	3064
484	2879	3057
485	2884	3050
486	2889	3043
487	2895	3037
488	2900	3030
489	2906	3025
490	2911	3018
491	2916	3011
492	2922	3005
493	2927	2998
494	2932	2991
495	2938	2985
496	2943	2978
497	2948	2971
498	2953	2965
499	2959	2959
500	2964	2952
501	2970	2947
502	2977	2942
503	2983	2936
504	2989	2930
